business_id,name,city,stars,review_count,is_open,categories0,categories1,categories2,categories3,categories4
QN7JpoH3Qu-Y-EhXdxrkMQ,Diamondback Police Supply,Lithia,3.0,938,0,Eyewear & Opticians, Nutritionists, Test Preparation, Mailbox Centers, Community Service/Non-Profit
lq4bgjDiAYR6i63-ZDiBGg,Half Price Books,Santa Barbara ,4.0,402,1,Vegan, Fireplace Services, Bankruptcy Law, Smokehouse, Shared Office Spaces
M0XSSHqrASOnhgbWDJIpQA,The flagpole Nola,Woolwich Twp,4.5,75,1,Car Buyers, Campgrounds, Cigar Bars, Aquarium Services, Tabletop Games
GduRGjJmz2syYgaL83RInw,Michael Kors,Waterloo,3.5,51,0,Walk-in Clinics, Comedy Clubs, Challenge Courses, Cafes, Dance Clubs
2FR-xWttfR8qaODqcuExvw,A.K. Lube & Auto,Creve Coeur,2.0,1210,1,Towing, Audiologist, Home Cleaning, Social Clubs, Masonry/Concrete
unkPNwxOxNQS5a5kPftLRA,Bang-N Heads Salon,Carpinteria,4.5,277,0,Paint-Your-Own Pottery, Auto Detailing, Boudoir Photography, Sporting Goods, Fast Food
dDbLYwjs5KH_rWbIjXNdoA,Damaso Painting,Marcus Hook,4.0,241,0,Delis, Halotherapy, Skin Care, Life Coach, Videos & Video Game Rental
do6EpBc7ZUoaqdzuUuGFXA,Sweet Things Chocolates,Crum Lynne,2.0,502,1,Nail Technicians, Estheticians, Appliances, Candy Stores, Plastic Surgeons
w_AMNoI1iG9eay7ncmc67w,Fusion Pizza & Grill,Saint Ann,1.5,283,1,Window Washing, Utilities, Blow Dry/Out Services, Food Stands, Veterinarians
gVh26yEPkXSoWbhs1p2kNA,The Music Box Village,ST. Louis,4.0,176,1,Acai Bowls, Stadiums & Arenas, Interior Design, Wedding Chapels, Packing Services
7PDi_iyik3jraDAzWwwR4Q,Octopus Car Wash,Berlin Township,5.0,514,0,Family Practice, Car Stereo Installation, Basque, Home Services, Mobile Phone Repair
ZY4R4YD3uGmzyECzEdr1rg,Bronze Lady Home Furnishings,NEW PORT RICHEY,1.0,689,0,Recycling Center, Outdoor Gear, Dental Hygienists, Hot Tub & Pool, Florists
rBmpy_Y1UbBx8ggHlyb7hA,The Waxing Queen Of Tucson,Lithia,1.0,324,1,Home Automation, Thai, Excavation Services, Elementary Schools, Karaoke
cEqDvn5VuX8nQ_vqs6_xog,Advance Auto Parts,Brooksville,2.0,271,0,Motorsport Vehicle Dealers, Criminal Defense Law, Carpeting, Fireplace Services, Sports Medicine
iEDyJb1Hlouy3jkLX4Oocw,Mr. B's Bistro,Valley Park,2.5,36,1,Shoe Shine, Home Services, Lawyers, Teeth Whitening, Telecommunications
vMp55ea__Pk0fYbBDCn6jg,Swat Pest Control,Smyrna,1.0,253,0,Spine Surgeons, Airlines, Leather Goods, Furniture Reupholstery, Kitchen Supplies
QN7JpoH3Qu-Y-EhXdxrkMQ,Szechuan Paramount Restaurant,Lester,2.5,296,1,Szechuan, Car Rental, Sandwiches, Hobby Shops, Dry Cleaning
dRqRBDrQZsNKo72JlEcejw,Jim's Appliance & Furniture,Montgomery,1.0,343,0,Public Transportation, Arts & Entertainment, Grocery, Wedding Planning, Automotive
v_C_FZW_rPsqHdBEY_O4kQ,Advanced Towing & Recovery,Belleair,5.0,287,1,Colleges & Universities, Cannabis Dispensaries, Martial Arts, Hunting & Fishing Supplies, Caterers
kxvOUehCtJAL2nYKkeiR-w,Cupcake Fairies,Ashland City,1.0,515,1,Preschools, Motorcycle Gear, Venezuelan, Pain Management, Pubs
3swM60bulnut1d4AZti80Q,Village Tap Room,Tabernacle,1.0,572,0,Trampoline Parks, Passport & Visa Services, Vape Shops, Emergency Rooms, Thai
lE9-FQdd_CJXszwT7YD3-Q,PAWS  Plaquemines Animal Welfare Society,Royersford,4.5,997,1,Mini Golf, Financial Services, Air Duct Cleaning, Pain Management, Sports Clubs
jL_NufxqXi-BpW5uXKsPwQ,Damaso Painting,Trenton,4.0,261,0,Bagels, Transportation, Tennis, Food Tours, Orthopedists
Ed7RUOj9MTUf9U-Y73bYlw,Main Street Salon & Spa,Reno ,4.0,76,0,Child Care & Day Care, Disc Golf, Fireplace Services, Float Spa, Allergists
iBRXLFWD7PeSYDbKsd_JTw,Lafitte's Landing Seafood House,Chester Springs,2.0,275,0,Macarons, Garage Door Services, Estate Planning Law, Preschools, Latin American
jcL_qaGJiappzpnn-ifSoA,Renee Hair Salon,Crum Lynne,4.5,818,1,Indian, Urgent Care, Automotive, Pediatric Dentists, Kids Activities
xloFoRiYlH4IKGz3FhTDpA,Bronze Lady Home Furnishings,Pontoon Beach,3.5,589,0,Gastropubs, Community Service/Non-Profit, Men's Clothing, Radiologists, Physical Therapy
WKMJwqnfZKsAae75RMP6jA,Blue Water Dental Care,Jennings,1.5,246,1,Desserts, Delis, Sports Medicine, Pulmonologist, Educational Services
1E9o1SNo7UTf1XHTFPv1_Q,Merendero La Catrachitas,Trinity,1.0,120,1,Vape Shops, Challenge Courses, Home Organization, Tutoring Centers, Paint Stores
VeFfrEZ4iWaecrQg6Eq4cg,Del Taco,Hazelwood,2.5,462,0,Local Services, Guns & Ammo, Bridal, Landscaping, Massage Therapy
6zBCuzJwov08YisHZkfU2Q,Walmart Supercenter,Mullica Hill,4.5,27,1,Shaved Ice, Tex-Mex, Professional Services, Endodontists, Eyewear & Opticians
txiXR1YfMyk-5S4ZzOVIhQ,China Dragon Restaurant,Collegeville,5.0,560,1,Japanese Curry, Surf Shop, Painters, Tanning Beds, Cultural Center
VeIrgRMOK_0ZToziUd2kUA,Famous Footwear,Franklinville,3.0,1114,1,General Dentistry, Waffles, Resorts, Hair Salons, Siding
34YgAnnZAPOeu8E-6IESJQ,LA Fitness,Pennsauken Township,3.5,111,1,Portuguese, Buffets, Medical Spas, Drive-In Theater, Poutineries
0gKLY_mzf7ibYEZ28tWuXA,Marty's Pizza,Roebling,3.0,550,0,Modern European, Towing, Trains, Dance Schools, Steakhouses
q9dLguaNI58Rs5GJuJAWIg,S&K Salon,Kenner,5.0,78,1,Airport Lounges, Argentine, Medical Spas, Grilling Equipment, Musicians
4mKAD2m2ek-z51ZPqL6-aw,Scout's Treat Truck,Aston,2.5,70,0,Religious Organizations, Environmental Testing, Golf Lessons, Hypnosis/Hypnotherapy, Registration Services
wCgIJhH_CTuwsSZPcafkng,Papa John's Pizza,Evesham Township,3.0,2062,1,Financial Advising, Coffee & Tea, Children's Museums, Bar Crawl, Siding
q4m9o8LDJRrdU1DcgcAm3w,China Dragon Restaurant,Virginia City,4.0,247,1,Interior Design, Pet Groomers, Barbeque, Real Estate Services, Skin Care
9kCutyCm1b8UuCRJF3Hw5A,Windsong Charters & Boat Rentals,Silverdale,4.5,272,0,Nurseries & Gardening, Live/Raw Food, Meat Shops, Vape Shops, Public Services & Government
X_E7U2lVNEwbH_gpOBmAHQ,Creature Comforts Pet Sitting,Reno ,3.5,166,1,Business Law, Cheesesteaks, Shipping Centers, Food Stands, Middle Eastern
kKb00Oj96n5YYqMSDzx1IA,Collision XS,Lula Lula,2.5,599,1,Moroccan, Blow Dry/Out Services, Real Estate, Cantonese, Driving Schools
cm0bhBDPM3bjBefmEXa3BQ,Jersey Mike's Subs,Maple Shade,1.0,158,0,Translation Services, Bars, Ethnic Grocery, Motorcycle Gear, Free Diving
g_VAg9LXIiiV2WMnGQCxOA,KFC,Indianapolis ,4.0,143,1,Home & Rental Insurance, Art Space Rentals, Museums, Breweries, Hair Loss Centers
GWGXTKR0Fhdvzf_isDqJug,reYOU massage,PHILA,1.0,57,1,Food Delivery Services, Funeral Services & Cemeteries, Air Duct Cleaning, Water Purification Services, Archery
